Cycle,Voltage_measured,Current_measured,Temperature_measured,Time,Capacity,Battery_ID
1,3.522006703394617,-1.8691188840185695,32.62485875142121,1812.0874974619292,1.89105229539079,B0007
3,3.5319490434317116,-1.8680422715350309,32.738209593287145,1803.1433724489798,1.880637027686859,B0007
5,3.5344025220217845,-1.877784734502072,32.68511456550919,1793.8093794871795,1.8806626717011388,B0007
7,3.53492504932652,-1.8875256535871228,32.554748499572646,1784.3594278350517,1.8807709009833444,B0007
9,3.534536640068787,-1.8871559747738404,32.46787845303298,1783.5013505154639,1.8794508728285058,B0007
11,3.5411626672196816,-1.8675154082122565,32.48624734055599,1793.4977589743594,1.8807003517117404,B0007
13,3.541165612176161,-1.8673304059806155,32.55779966353037,1792.8422461538462,1.8799352523566075,B0007
15,3.5494581176357975,-1.9063154499484403,32.45374435641106,1756.570764397906,1.8815088124038797,B0007
17,3.5502805464079743,-1.9164259300038171,32.373246444985035,1745.895568421053,1.8696907870385844,B0007
19,3.5481347674910286,-1.9165016044519978,32.30534276235138,1746.0239315789474,1.870052380139199,B0007
21,3.5484272148956437,-1.926771167846017,32.183319483399806,1736.7096984126983,1.8700442394188577,B0007
24,3.5560433603714667,-1.936979366983281,32.378853181816005,1717.784090909091,1.8596518987766364,B0007
26,3.5604849642800684,-1.947065774665518,32.2913249500013,1708.225698924731,1.8590746560862206,B0007
28,3.5562872542469752,-1.946961601670498,32.14782797344657,1707.6932258064517,1.8590084577709232,B0007
30,3.5647746218187324,-1.946851050742258,32.01380948237792,1698.3709945945948,1.8593622586957048,B0007
32,3.565438928797127,-1.9574063719005568,31.881310103471357,1688.5975869565218,1.8587355450601035,B0007
34,3.565961679108638,-1.9680136940585706,31.854304304240515,1679.5417049180328,1.847817291322145,B0007
36,3.572496559005355,-1.9680499927642312,31.856555404576753,1670.3903406593408,1.8485252916137047,B0007
38,3.5699492020415136,-1.9680218912213907,31.867182607083926,1669.7937802197803,1.848378951850034,B0007
41,3.5464338449590023,-1.9066656790606797,32.35216872128999,1765.5130781249998,1.8807805437609766,B0007
45,3.5531968089006387,-1.9267118604677658,32.60219299451182,1746.6842315789472,1.8814721597443598,B0007
49,3.5599340214678805,-1.9260915660103672,32.19571819720114,1737.6627513227513,1.8810954313244785,B0007
53,3.5595604968237993,-1.9468340181835688,31.805988160181123,1718.3130374331552,1.8710089649779995,B0007
57,3.552385161941813,-1.9364196896718646,31.737001978644926,1727.275670212766,1.8701995151941375,B0007
61,3.5707670304281067,-1.9675984733558025,31.51707667966367,1689.6680706521743,1.8706715362800985,B0007
65,3.5657224847439295,-1.9680130544442065,31.442860781038384,1688.6594782608695,1.8596124644020169,B0007
69,3.5712835067487094,-1.9675572757550353,31.32326275303232,1680.233169398907,1.860033909718346,B0007
73,3.5679716274891398,-1.967618505240168,31.28571570579735,1679.2383551912565,1.8591653109160768,B0007
77,3.5646314038791784,-1.9678214300979182,31.331850868998004,1679.283196721312,1.8481398178778288,B0007
81,3.568983888921194,-1.9675056354779956,31.32285733932258,1670.9220934065934,1.849201702126164,B0007
85,3.564620688944316,-1.9683447778186904,31.608436452122476,1733.8072614555256,1.8834677437950846,B0007
89,3.5694388142217837,-1.9788067754387157,31.782101501165204,1705.8462164383564,1.8628211117905844,B0007
93,3.568742147335628,-1.9785908218423578,31.515041989202878,1696.4787851239669,1.852085039652352,B0007
97,3.5642424070467817,-1.9784335668087778,31.13866351339678,1691.6339806629833,1.8469504648208708,B0007
101,3.5653038098527605,-1.9781601679702336,31.068710515588776,1682.8217166666666,1.836828431169018,B0007
105,3.565432167703823,-1.9783765899690637,31.618244836823447,1682.8505666666667,1.8371619619672275,B0007
109,3.5622303163451425,-1.9780771457931066,31.331528063668397,1677.6330139275765,1.8316722583718854,B0007
113,3.564481026852489,-1.9780971417908424,31.132569191182142,1668.2284341736695,1.8211470951317783,B0007
117,3.561614556780574,-1.977978349880126,30.972969676157927,1663.9107808988765,1.816506091511515,B0007
121,3.5630587459190144,-1.9784334957218421,31.1990648511682,1659.1183577464788,1.8113815601504555,B0007
125,3.5629534367704405,-1.9782873833989176,31.722267598269813,1659.0365295774648,1.8116056333939583,B0007
129,3.563446012076242,-1.9781961432676651,31.900827580605675,1654.2645677966102,1.8060548955557403,B0007
133,3.563998342345823,-1.9670969462670498,31.5372402498617,1639.2639497206703,1.8132041826994056,B0007
135,3.5604902283110547,-1.9781214643703728,31.24662583059252,1654.5475056497176,1.8062641938283535,B0007
139,3.5567002097886946,-1.9780364457328714,30.939399361884792,1644.689880681818,1.7958310249900458,B0007
143,3.5584127263446006,-1.977935781469453,30.884857004354572,1635.3817171428573,1.7858852600390451,B0007
147,3.556136820956992,-1.9780170042003,30.920682316695828,1630.6119570200576,1.7803268604502753,B0007
149,3.568999942180493,-1.9779140108313502,33.880577817079796,1663.7565028089887,1.8150756899575577,B0007
153,3.571059290544873,-1.978162017642311,33.038339318294426,1663.5275196629213,1.8157025154845838,B0007
157,3.5666921284622095,-1.9779553399945098,32.27329169539202,1649.7849801699717,1.8002432178056673,B0007
161,3.563327431073248,-1.9779914337720734,31.937919783481355,1640.4004786324788,1.7904476205609308,B0007
165,3.5590146214829015,-1.9721889844228178,31.688686599521045,1636.1661114285714,1.780343032300132,B0007
169,3.5566945836342914,-1.9723254573804139,31.779120691032947,1630.8346131805158,1.775328769596812,B0007
173,3.555013984911923,-1.9668382736785281,32.133873372089305,1630.6591977077362,1.7702629734732853,B0007
177,3.5526373754067415,-1.960929600351624,31.889431533099835,1626.42533045977,1.760081061854204,B0007
181,3.547186025484395,-1.9607588424014128,31.81736328028127,1621.600925072046,1.749647593537689,B0007
185,3.546814755244375,-1.9607439129501683,31.72316205746117,1616.5487167630058,1.749650075059311,B0007
189,3.5447850172972655,-1.9550964299704847,31.957150654392294,1617.2792080924853,1.745028739214683,B0007
193,3.5465215420964156,-1.955058998571939,32.29917704213345,1612.0939710144926,1.7396457455286727,B0007
197,3.540832547654255,-1.9491545130405272,32.128842946565555,1611.9802086956522,1.7285642277717963,B0007
201,3.542992511358393,-1.9485230174751031,32.021134355757404,1603.143029154519,1.723900324588418,B0007
205,3.5360811169860216,-1.9431227050969846,31.859048861486652,1602.9099008746357,1.7139788776485192,B0007
209,3.5392436935272635,-1.9430080085541772,32.16100333536097,1598.327128654971,1.7139701997004613,B0007
