Cycle,Voltage_measured,Current_measured,Temperature_measured,Time,Capacity,Battery_ID,capacity_fade_total,capacity_fade_percent,capacity_rolling_mean_5,capacity_rolling_std_5,capacity_trend_5,voltage_rolling_mean_5,temp_rolling_mean_5,capacity_velocity,capacity_acceleration,cycle_normalized,cycles_from_start,voltage_change,resistance_proxy,internal_resistance,energy_discharged,power_avg,voltage_efficiency,discharge_capacity_ratio,temp_capacity_interaction,voltage_capacity_ratio,power_to_energy_ratio,degradation_acceleration_abs,remaining_capacity,estimated_cycles_to_eol
11,3.5413347346347575,-1.8168108743168803,32.43418218230641,1793.4977589743594,1.8356616600675495,B0005,0.020825760750607936,1.1217830251405627,1.8374492279610077,0.004976628226079067,-0.0022034865316120397,3.5416801901239987,32.53990096450768,0.0010161518555076299,0.0016331712255786002,0.01794453507340946,10,-0.0010085180324592713,0.6586652653652427,0.9828311578980771,6.500692397834514,6.433935455480511,84.31749368177994,0.9887821697485943,-0.07146828360256337,1.9291870673512035,0.9897307950801917,0.0016331712255786002,0.5361204654948393,527.5987664530853
13,3.5410250495075215,-1.816791144707133,32.480416444757985,1792.8422461538462,1.8351461429226603,B0005,0.021341277895497113,1.1495514408652427,1.8352130066015544,0.0003704100775041426,-6.97011606068105e-07,3.5424211744683083,32.49093720842066,-0.0005155171448891771,-0.001531669000396807,0.021207177814029365,12,-0.000309685127235948,0.6589749504924787,0.9832932563389541,6.49829846159625,6.4333029531314025,84.31012022636956,0.9885044855913476,-2.263922723192165e-05,1.9295602495548787,0.9899980727495113,0.001531669000396807,0.5356049483499501,1000.0
15,3.554133296801584,-1.8443412120754061,32.41046186109587,1756.570764397906,1.8257567905665537,B0005,0.03073063025160372,1.6553104484845187,1.8332945258701834,0.004229286214927968,-0.0018510839320501722,3.544500488174245,32.44445719312797,-0.009389352356106606,-0.008873835211217429,0.024469820554649267,14,0.013108247294062458,0.6458667031984162,0.963733709869028,6.4889830012141845,6.555034512500592,84.62222135241866,0.9834468955151549,-0.05999448518139948,1.946663057842822,1.0101790236272847,0.008873835211217429,0.5262155959938435,56.04386501179772
17,3.5529355991467955,-1.853972745505648,32.3461408313,1745.895568421053,1.8247738529891333,B0005,0.031713567829024125,1.7082565426189582,1.8311967909515878,0.0054376884844423365,-0.002964817994681533,3.546354386551575,32.410710066978204,-0.0009829375774204063,0.0084064147786862,0.02773246329526917,16,-0.0011976976547884988,0.6470644008532047,0.9655208613020321,6.483303982677353,6.587045767354939,84.59370474159037,0.9829174345738104,-0.09590042039514132,1.9470552985657854,1.0160013759889668,0.0084064147786862,0.5252326584164231,534.3499632955624
19,3.5512057319376997,-1.8535899338510957,32.27679750791685,1746.0239315789474,1.824613268496936,B0005,0.03187415232122137,1.7169064526801034,1.8291903430085668,0.0056919630762028665,-0.0032469073074755106,3.548126882405671,32.389599765475424,-0.00016058449219724658,0.0008223530852231598,0.03099510603588907,18,-0.0017298672090957368,0.6487942680623004,0.9681020925913164,6.4795770976559,6.582479197754033,84.55251742708808,0.982830935473199,-0.10479976969036256,1.9462785858523768,1.0158809901552617,0.0008223530852231598,0.5250720739242258,1000.0
21,3.549292319740949,-1.863380178294828,32.15709350345252,1736.7096984126983,1.8246195526864504,B0005,0.031867868131707056,1.7165679537792304,1.8269819215323466,0.004588636160427983,-0.0022196702542038754,3.54971839942691,32.33418202970464,6.284189514316196e-06,0.00016686868171156277,0.03425774877650897,20,-0.0019134121967505635,0.650707680259051,0.9709572015878806,6.476108164799184,6.613680955579354,84.50695999383213,0.9828343204622076,-0.07137814391126625,1.9452232190076026,1.0212431273967821,0.00016686868171156277,0.5250783581137402,1000.0
24,3.559759220648976,-1.872968810287894,32.36407129853099,1717.784090909091,1.8142019357673917,B0005,0.04228548505076568,2.277714601057215,1.822793080101293,0.004826072156033826,-0.002326400990100827,3.5534652336552006,32.310913000459244,-0.010417616919058625,-0.010423901108572942,0.03915171288743882,23,0.010466900908026933,0.6402407793510241,0.955338955294999,6.458122068967194,6.667317992410274,84.7561719202137,0.9772228539894279,-0.07529180751259625,1.9621626184315744,1.0323926864820836,0.010423901108572942,0.5146607411946815,49.402924410968666
26,3.558081969139198,-1.8826095043160833,32.3181954403762,1708.225698924731,1.8137521577549054,B0005,0.04273526306325204,2.3019419676120685,1.8203921535389633,0.005858676155583036,-0.003245472319799931,3.5542549681227236,32.292459716315314,-0.00044977801248635707,0.009967838906572268,0.04241435562805873,25,-0.0016772515097782659,0.6419180308608023,0.9578416757664172,6.453478848995043,6.698478932237139,84.71623736045709,0.9769805803238794,-0.1048878087276253,1.961724458287319,1.0379640328844106,0.009967838906572268,0.5142109631821952,1000.0
28,3.555692244172496,-1.882536787636365,32.15709029211502,1707.6932258064517,1.8134404914735822,B0005,0.04304692934457521,2.318729923071838,1.8181254812358532,0.005931560585865836,-0.003321294897825513,3.554806297127864,32.25464960847832,-0.0003116662813231752,0.00013811173116318187,0.04567699836867863,27,-0.002389724966701756,0.6443077558275041,0.9614075175977441,6.448036290800975,6.693721455168029,84.65933914696419,0.9768127007692816,-0.10680317991611596,1.9607438241787458,1.0381023234496303,0.00013811173116318187,0.513899296900872,1000.0
30,3.562746818017503,-1.8817935155260215,32.04407000314609,1698.3709945945948,1.8025980036306504,B0005,0.05388941718750706,2.902762312483534,1.813722428262596,0.007791188031097096,-0.004480454240541324,3.5571145143438243,32.208104107524164,-0.010842487842931847,-0.010530821561608672,0.048939641109298535,29,0.00705457384500674,0.6372531819824974,0.95088099472619,6.422200301599802,6.704353859606304,84.82730519089291,0.9709723768751647,-0.14357198932979892,1.9764511060378964,1.0439340949761744,0.010530821561608672,0.5030568090579401,46.39680637372168
