Cycle,Voltage_measured,Current_measured,Temperature_measured,Time,Capacity
2,4.191491807505295,-0.004901589207462691,24.330033885570543,0.0,1.8564874208181574
4,4.189773213846608,2.125117981080765e-05,24.697751935729325,0.0,1.846327249719927
6,4.188186735991303,-0.0017540301662326099,24.734266163954402,0.0,1.8353491942234077
8,4.188461118855572,-0.0027750361294468047,24.65423646922845,0.0,1.8352625275821128
10,4.188298524761055,-0.007980866803888688,24.524796959348127,0.0,1.8346455082120419
12,4.188815807948604,-0.005055568294146982,24.522297376927863,0.0,1.8356616600675495
14,4.18839163793879,-0.002633435144531069,24.58487828579781,0.0,1.8351461429226603
16,4.188927891511958,0.002227616056915605,24.713628799279793,0.0,1.8257567905665537
18,4.189029250882121,-0.0021960382833998496,24.635211633324694,0.0,1.8247738529891333
20,4.189223427076418,-0.005976012336206865,24.572057664095553,0.0,1.824613268496936
22,4.188916055911241,-0.003522581481040198,24.43671599422777,0.0,1.8246195526864504
25,4.189876247266316,-0.0007535800248102744,24.7443285138996,0.0,1.8142019357673917
27,4.189286794768804,0.0018583785527610795,24.736639099532358,0.0,1.8137521577549054
29,4.188837765892728,-0.001041498744767703,24.44798340505406,0.0,1.8134404914735822
31,4.189110301768517,-0.002412047466484661,24.47211924021532,0.0,1.8025980036306504
33,4.18921207304098,0.0025385113330863318,24.325417128823222,0.0,1.80210690024615
35,4.188899969428112,-0.00012207956710486506,24.3625933569109,0.0,1.802579500826209
37,4.188779799856791,-0.004310745751772861,24.382419922756025,0.0,1.8030683142834096
39,4.189272591516219,-0.0013923121351757206,24.361449262276754,0.0,1.8027776247196041
42,4.187614060563439,-0.00360426188437657,24.558714742953534,0.0,1.8470259949329193
46,4.1876287811083985,-0.0033381888932268954,24.92210633449132,0.0,1.847417311283644
50,4.187447226312926,-0.0014962307447162302,24.56596639952811,0.0,1.8361774213478947
54,4.187344026387161,-0.003802729417036472,24.21658146702539,0.0,1.8257807475776242
58,4.187438187636325,0.0013678911872666004,24.054990657817566,0.0,1.8251136435078368
62,4.18774138117799,-0.004545201520133653,24.028778234327,0.0,1.8255815042203762
66,4.188261122540052,-0.0037058225959767316,23.93841461307264,0.0,1.8140311275083907
70,4.187338767288234,-0.0010441513886458214,23.811534187517502,0.0,1.8147691941158939
74,4.187560306288175,-0.0003129824916891624,23.754765330883426,0.0,1.813969388710352
78,4.18805176248713,0.001590776584272406,23.79768342466196,0.0,1.802765665167823
82,4.187667484260542,-0.000675583650671011,23.801300986918452,0.0,1.804077040117352
86,4.2010701773378685,-5.4218711933377765e-05,23.78129749955371,0.0,1.8518025516704486
90,4.1996223345495824,-0.0008182048183192659,24.204043411413554,0.0,1.8307038456739428
